Chart Type,Input Percent,Actual Percent,Error
Bar Chart,50,58,3.022368
Bar Chart,90,87,1.643856
Bar Chart,100,99,0.169925
Tree Map,50,66,4.011227
Tree Map,95,90,2.357552
Bar Chart,100,98,1.087463
Pie Chart,80,70,3.33985
Tree Map,30,23,2.83289
Pie Chart,80,84,2.044394
Bar Chart,80,81,0.169925
Pie Chart,50,63,3.714246
Bar Chart,50,55,2.357552
Pie Chart,90,85,2.357552
Pie Chart,60,62,1.087463
Pie Chart,60,53,2.83289
Pie Chart,70,71,0.169925
Bar Chart,85,83,1.087463
Tree Map,50,45,2.357552
Bar Chart,90,91,0.169925
Bar Chart,40,40,0
Tree Map,90,80,3.33985
Pie Chart,90,98,3.022368
Bar Chart,100,94,2.61471
Pie Chart,80,77,1.643856
Tree Map,90,95,2.357552
Pie Chart,80,67,3.714246
Bar Chart,70,75,2.357552
Pie Chart,70,72,1.087463
Bar Chart,50,48,1.087463
Pie Chart,50,42,3.022368
Bar Chart,45,46,0.169925
Bar Chart,45,45,0
Pie Chart,50,55,2.357552
Tree Map,30,32,1.087463
Tree Map,90,97,2.83289
Pie Chart,40,33,2.83289
Bar Chart,50,54,2.044394
Pie Chart,100,93,2.83289
Pie Chart,50,58,3.022368
Bar Chart,90,85,2.357552
Tree Map,50,42,3.022368
Pie Chart,50,43,2.83289
Pie Chart,80,81,0.169925
Bar Chart,80,70,3.33985
Bar Chart,70,69,0.169925
Tree Map,50,53,1.643856
Tree Map,70,63,2.83289
Pie Chart,80,63,4.098032
Pie Chart,100,95,2.357552
Tree Map,90,97,2.83289
Bar Chart,70,68,1.087463
Bar Chart,60,66,2.61471
Tree Map,70,75,2.357552
Tree Map,30,30,0
Bar Chart,70,64,2.61471
Tree Map,60,64,2.044394
Tree Map,80,85,2.357552
Tree Map,100,86,3.820179
Tree Map,70,87,4.098032
Tree Map,50,51,0.169925
Tree Map,80,89,3.189825
Bar Chart,50,48,1.087463
Bar Chart,90,86,2.044394
Tree Map,80,73,2.83289
Bar Chart,30,28,1.087463
Pie Chart,70,73,1.643856
Tree Map,70,57,3.714246
Bar Chart,50,47,1.643856
Tree Map,40,49,3.189825
Tree Map,90,89,0.169925
Tree Map,50,68,4.179909
Bar Chart,60,60,0
Bar Chart,60,58,1.087463
Bar Chart,60,56,2.044394
Tree Map,40,44,2.044394
Bar Chart,60,59,0.169925
Bar Chart,80,78,1.087463
Pie Chart,90,80,3.33985
Tree Map,90,92,1.087463
Bar Chart,50,54,2.044394
Tree Map,50,48,1.087463
Tree Map,50,59,3.189825
Bar Chart,70,67,1.643856
Tree Map,80,86,2.61471
Tree Map,50,52,1.087463
Bar Chart,60,64,2.044394
Bar Chart,80,71,3.189825
Bar Chart,50,54,2.044394
Tree Map,50,58,3.022368
Pie Chart,50,45,2.357552
Pie Chart,50,54,2.044394
Pie Chart,80,83,1.643856
Pie Chart,70,68,1.087463
Pie Chart,80,90,3.33985
Pie Chart,80,73,2.83289
Bar Chart,40,31,3.189825
Bar Chart,80,71,3.189825
Pie Chart,100,94,2.61471
Pie Chart,80,83,1.643856
Bar Chart,30,39,3.189825
Tree Map,60,66,2.61471
Bar Chart,80,78,1.087463
Pie Chart,80,70,3.33985
Pie Chart,60,57,1.643856
Pie Chart,100,85,3.918863
Tree Map,40,39,0.169925
Pie Chart,50,55,2.357552
Pie Chart,100,96,2.044394
Bar Chart,70,73,1.643856
Tree Map,80,80,0
Bar Chart,60,55,2.357552
Tree Map,70,57,3.714246
Pie Chart,40,33,2.83289
Tree Map,70,75,2.357552
Tree Map,90,90,0
Tree Map,90,90,0
Tree Map,30,31,0.169925
Pie Chart,50,66,4.011227
Pie Chart,50,38,3.599913
Pie Chart,80,81,0.169925
Pie Chart,80,84,2.044394
Tree Map,60,76,4.011227
Bar Chart,70,70,0
Bar Chart,80,82,1.087463
Tree Map,80,89,3.189825
Tree Map,90,80,3.33985
Tree Map,80,84,2.044394
Bar Chart,70,77,2.83289
Pie Chart,50,37,3.714246
Bar Chart,95,91,2.044394
Pie Chart,80,83,1.643856
Bar Chart,80,85,2.357552
Tree Map,40,35,2.357552
Pie Chart,90,81,3.189825
Pie Chart,70,62,3.022368
Pie Chart,100,88,3.599913
Bar Chart,50,54,2.044394
Pie Chart,50,44,2.61471
Bar Chart,60,57,1.643856
Bar Chart,50,45,2.357552
Bar Chart,70,63,2.83289
Pie Chart,100,82,4.179909
Pie Chart,95,92,1.643856
Pie Chart,95,90,2.357552
Tree Map,40,43,1.643856
Pie Chart,90,90,0
Bar Chart,60,67,2.83289
Pie Chart,80,93,3.714246
Pie Chart,50,47,1.643856
Tree Map,50,50,0
Tree Map,55,47,3.022368
