Id,Date,Type,TrueValue,GuessValue,Error,Point1,Point2,"NOTE: If guess is 50 and error is 0, the record should be used only as the starting time for the set"
9tcrn,2/11/2024 13:38:30,Radar,6.25,2,2.13,6,96,
9tcrn,2/11/2024 13:38:40,Pie,2.631578947,7,2.17,1,38,
9tcrn,2/11/2024 13:39:03,Pie,30.76923077,30,-0.16,20,65,
9tcrn,2/11/2024 13:39:11,Radar,28.78787879,25,1.97,19,66,
9tcrn,2/11/2024 13:39:19,Pie,5.747126437,5,-0.2,5,87,
9tcrn,2/11/2024 13:39:36,Radar,31.03448276,25,2.62,18,58,
9tcrn,2/11/2024 13:39:45,Pie,26.66666667,20,2.76,12,45,
9tcrn,2/11/2024 13:39:52,Radar,36.17021277,33,1.72,17,47,
9tcrn,2/11/2024 13:40:10,Radar,8.955223881,10,0.23,6,67,
9tcrn,2/11/2024 13:40:41,Pie,22.97297297,23,-2.72,17,74,
9tcrn,2/11/2024 13:40:47,Pie,25.37313433,20,2.46,17,67,
9tcrn,2/11/2024 13:41:06,Pie,25,29,2.04,15,60,
9tcrn,2/11/2024 13:41:15,Radar,44.82758621,44,-0.07,13,29,
9tcrn,2/11/2024 13:41:39,Pie,11.62790698,12,-1.01,5,43,
9tcrn,2/11/2024 13:41:50,Pie,28.57142857,28,-0.52,12,42,
9tcrn,2/11/2024 13:42:05,Radar,28.94736842,20,3.18,11,38,
9tcrn,2/11/2024 13:42:16,Radar,81.25,80,0.46,26,32,
1zspd,2/11/2024 13:53:56,Bar,56.09756098,5,5.68,46,82,
1zspd,2/11/2024 13:54:05,Pie,48.27586207,3,5.5,14,29,
1zspd,2/11/2024 13:54:16,Radar,77.52808989,3,6.22,69,89,
1zspd,2/11/2024 13:54:25,Bar,7.777777778,7,-0.15,7,90,
1zspd,2/11/2024 13:54:40,Radar,100,89,3.48,56,56,
1zspd,2/11/2024 13:54:53,Bar,8.536585366,8,-0.6,7,82,
aizcu,2/11/2024 14:24:14,Radar,3.703703704,50,0,3,81,
aizcu,2/11/2024 14:24:49,Radar,3.703703704,35,4.97,3,81,
aizcu,2/11/2024 14:25:25,Pie,13.43283582,27,3.78,9,67,
aizcu,2/11/2024 14:25:40,Pie,38.46153846,45,2.74,15,39,
aizcu,2/11/2024 14:25:55,Bar,47.5,50,1.39,38,80,
aizcu,2/11/2024 14:26:26,Radar,41.93548387,37,2.34,26,62,
aizcu,2/11/2024 14:26:37,Bar,49.42528736,45,2.19,43,87,
aizcu,2/11/2024 14:26:49,Radar,88.73239437,90,0.48,63,71,
aizcu,2/11/2024 14:26:59,Bar,8.695652174,10,0.52,2,23,
aizcu,2/11/2024 14:27:24,Pie,10.12658228,13,1.58,8,79,
aizcu,2/11/2024 14:27:38,Radar,33.33333333,40,2.76,26,78,
aizcu,2/11/2024 14:27:57,Bar,78.49462366,80,0.71,73,93,
aizcu,2/11/2024 14:28:30,Bar,87.3015873,85,1.28,55,63,
aizcu,2/11/2024 14:28:57,Bar,66.21621622,65,0.42,49,74,
aizcu,2/11/2024 14:29:16,Radar,3.571428571,5,0.64,3,84,
aizcu,2/11/2024 14:29:30,Bar,60.46511628,60,-0.76,52,86,
aizcu,2/11/2024 14:29:38,Radar,98.5915493,100,0.62,70,71,
aizcu,2/11/2024 14:29:47,Pie,75,90,3.92,15,20,
aizcu,2/11/2024 14:30:01,Bar,9.375,15,2.52,3,32,
aizcu,2/11/2024 14:30:14,Radar,47.43589744,50,1.43,37,78,
aizcu,2/11/2024 14:30:40,Pie,62.06896552,70,3.01,36,58,
aizcu,2/11/2024 14:31:18,Pie,47.45762712,50,1.42,28,59,
