trialNum,Vis Type,Reported Percent,True Percent,Error
34,Donut Chart,35,36,0.169925001
35,Bar Chart,10,12,1.087462841
36,Bar Chart,90,94,2.044394119
37,Bar Chart,20,18,1.087462841
38,Stack Chart,100,93,2.832890014
39,Bar Chart,98,97,0.169925001
40,Bar Chart,30,23,2.832890014
41,Donut Chart,10,1,3.189824559
42,Bar Chart,70,81,3.475733431
43,Bar Chart,60,70,3.339850003
44,Pie Chart,97,91,2.614709844
45,Donut Chart,86,69,4.098032083
46,Donut Chart,30,46,4.011227255
47,Donut Chart,90,82,3.022367813
48,Pie Chart,98,97,0.169925001
49,Stack Chart,48,47,0.169925001
50,Stack Chart,12,14,1.087462841
51,Donut Chart,14,23,3.189824559
52,Donut Chart,45,47,1.087462841
53,Bar Chart,70,79,3.189824559
54,Stack Chart,50,65,3.918863237
55,Donut Chart,98,90,3.022367813
56,Pie Chart,13,13,0
57,Donut Chart,48,50,1.087462841
58,Bar Chart,75,72,1.64385619
59,Stack Chart,43,57,3.820178962
60,Donut Chart,35,33,1.087462841
61,Pie Chart,98,97,0.169925001
62,Pie Chart,90,80,3.339850003
63,Pie Chart,100,84,4.011227255
64,Bar Chart,10,12,1.087462841
65,Stack Chart,50,63,3.714245518
66,Pie Chart,98,91,2.832890014
67,Pie Chart,60,46,3.820178962
68,Stack Chart,5,9,2.044394119
69,Donut Chart,12,14,1.087462841
70,Pie Chart,98,79,4.257387843
71,Bar Chart,75,82,2.832890014
72,Donut Chart,30,38,3.022367813
73,Bar Chart,60,60,0
74,Bar Chart,88,92,2.044394119
75,Stack Chart,96,88,3.022367813
76,Stack Chart,88,91,1.64385619
77,Stack Chart,10,17,2.832890014
78,Stack Chart,99,85,3.820178962
79,Stack Chart,50,52,1.087462841
80,Stack Chart,7,7,0
1,Bar Chart,40,40,0
2,Stack Chart,20,21,0.169925001
3,Bar Chart,15,19,2.044394119
4,Donut Chart,17,15,1.087462841
5,Donut Chart,66,75,3.189824559
6,Stack Chart,90,88,1.087462841
7,Donut Chart,20,26,2.614709844
